ID,Date,MONTH,YEAR,REPORT_PERIOD,POPULATION,NUMBER_INJURIES,INJURIES_PER_1000,TARGET_INJURY_RATE
84,12/31/2016 12:00:00 AM,DECEMBER,2016,DECEMBER 2016,899447,300,3.5,3.4
80,08/31/2016 12:00:00 AM,AUGUST,2016,AUGUST 2016,899447,318,3.3,3.4
76,04/30/2016 12:00:00 AM,APRIL,2016,APRIL 2016,899447,232,3.1,3.4
60,12/01/2014 12:00:00 AM,DECEMBER,2014,DECEMBER 2014,877926,310,4.2,6.6
58,10/01/2014 12:00:00 AM,OCTOBER,2014,OCTOBER 2014,877926,342,4.1,6.6
59,11/01/2014 12:00:00 AM,NOVEMBER,2014,NOVEMBER 2014,877926,333,4.2,6.6
51,03/01/2014 12:00:00 AM,MARCH,2014,MARCH 2014,877926,281,3.7,6.6
82,10/31/2016 12:00:00 AM,OCTOBER,2016,OCTOBER 2016,899447,314,3.5,3.4
57,09/01/2014 12:00:00 AM,SEPTEMBER,2014,SEPTEMBER 2014,877926,361,4.1,6.6
74,02/29/2016 12:00:00 AM,FEBRUARY,2016,FEBRUARY 2016,899447,193,3.2,3.4
54,06/01/2014 12:00:00 AM,JUNE,2014,JUNE 2014,877926,350,3.9,6.6
55,07/01/2014 12:00:00 AM,JULY,2014,JULY 2014,877926,327,4,6.6
56,08/01/2014 12:00:00 AM,AUGUST,2014,AUGUST 2014,877926,287,4,6.6
81,09/30/2016 12:00:00 AM,SEPTEMBER,2016,SEPTEMBER 2016,899447,339,3.4,3.4
83,11/30/2016 12:00:00 AM,NOVEMBER,2016,NOVEMBER 2016,899447,318,3.5,3.4
78,06/30/2016 12:00:00 AM,JUNE,2016,JUNE 2016,899447,275,3.3,3.4
79,07/31/2016 12:00:00 AM,JULY,2016,JULY 2016,899447,246,3.2,3.4
86,02/28/2017 12:00:00 AM,FEBRUARY,2017,FEBRUARY 2017,934000,201,3.3,3.3
65,05/01/2015 12:00:00 AM,MAY,2015,MAY 2015,895000,334,4.1,6.6
64,04/01/2015 12:00:00 AM,APRIL,2015,APRIL 2015,895000,233,4,6.6
63,03/01/2015 12:00:00 AM,MARCH,2015,MARCH 2015,895000,299,4.3,6.6
61,01/01/2015 12:00:00 AM,JANUARY,2015,JANUARY 2015,895000,350,4.7,6.6
62,02/01/2015 12:00:00 AM,FEBRUARY,2015,FEBRUARY 2015,895000,302,4.4,6.6
67,07/01/2015 12:00:00 AM,JULY,2015,JULY 2015,895000,360,4.2,6.6
66,06/01/2015 12:00:00 AM,JUNE,2015,JUNE 2015,895000,301,4.1,6.6
70,10/01/2015 12:00:00 AM,OCTOBER,2015,OCTOBER 2015,895000,359,4.2,6.6
69,09/01/2015 12:00:00 AM,SEPTEMBER,2015,SEPTEMBER 2015,895000,329,4.2,6.6
72,12/01/2015 12:00:00 AM,DECEMBER,2015,DECEMBER 2015,895000,319,4.3,6.6
68,08/01/2015 12:00:00 AM,AUGUST,2015,AUGUST 2015,895000,302,4.2,6.6
71,11/01/2015 12:00:00 AM,NOVEMBER,2015,NOVEMBER 2015,895000,326,4.2,6.6
85,01/31/2017 12:00:00 AM,JANUARY,2017,JANUARY 2017,934000,306,3.9,3.3
89,05/31/2017 12:00:00 AM,MAY,2017,MAY 2017,934000,280,3.3,3.3
88,04/30/2017 12:00:00 AM,APRIL,2017,APRIL 2017,934000,217,3.2,3.3
87,03/31/2017 12:00:00 AM,MARCH,2017,MARCH 2017,934000,270,3.3,3.3
91,07/31/2017 12:00:00 AM,JULY,2017,JULY 2017,934000,224,3.3,3.3
90,06/30/2017 12:00:00 AM,JUNE,2017,JUNE 2017,934000,278,3.3,3.3
94,10/31/2017 12:00:00 AM,OCTOBER,2017,OCTOBER 2017,934000,308,3.4,3.3
93,09/30/2017 12:00:00 AM,SEPTEMBER,2017,SEPTEMBER 2017,934000,327,3.4,3.3
98,02/28/2018 12:00:00 AM,FEBRUARY,2018,FEBRUARY 2018,959000,207,3.3,3.2
96,12/31/2017 12:00:00 AM,DECEMBER,2017,DECEMBER 2017,934000,399,3.6,3.3
97,12/31/2017 12:00:00 AM,JANUARY,2018,JANUARY 2018,959000,317,4,3.2
92,08/31/2017 12:00:00 AM,AUGUST,2017,AUGUST 2017,934000,270,3.3,3.3
95,11/30/2017 12:00:00 AM,NOVEMBER,2017,NOEMBER 2017,934000,308,3.5,3.3
