index,Date,Location,Confirmed Cases (Cumulative),Confirmed Cases: Daily Change,Active Cases (As of Date),Recovered Cases (Cumulative),In Hospital (As of Date),In Hospital: Daily Change,In Intensive Care (As of Date),In Intensive Care: Daily Change,Deaths (Cumulative),Deaths: Daily Change,Test Count: Edmonton,Test Count: Alberta,Test Percentage,Test Positivity Rate,Hospitalization Rate,Rate of Cases: Edmonton
580,2021/10/09,Edmonton Zone,98395,209,,,,,,,,,3384,11637,29,6.12,11.3,
581,2021/10/10,Edmonton Zone,98569,174,,,,,,,,,2572,7720,33,6.65,11.6,
582,2021/10/11,Edmonton Zone,98679,110,3531,93917,316,,110,,1231,,2064,7333,28,5.28,10.8,6843.2
583,2021/10/12,Edmonton Zone,98800,121,3281,94278,317,1,108,-2,1241,10,2459,8620,29,4.76,10.2,6851.5
584,2021/10/13,Edmonton Zone,99070,270,3149,94674,318,1,108,0,1247,6,3925,12733,31,6.78,10.6,6870.3
585,2021/10/14,Edmonton Zone,99305,235,3050,95005,312,-6,103,-5,1250,3,4302,14054,31,5.42,9.6,6886.6
586,2021/10/15,Edmonton Zone,99497,192,,,,,,,,,3607,11640,31,5.27,10.3,
587,2021/10/16,Edmonton Zone,99669,172,,,,,,,,,3364,11437,29,5.17,10.1,
588,2021/10/17,Edmonton Zone,99815,146,2913,95648,304,,101,,1254,,2133,7165,30,6.89,9.6,6921.9
589,2021/10/18,Edmonton Zone,99918,103,2717,95942,291,-13,97,-4,1259,5,2270,8030,28,4.54,9.2,6929.1
590,2021/10/19,Edmonton Zone,100147,229,2603,96284,278,-13,93,-4,1260,1,3634,12114,30,6.14,8.3,6945
591,2021/10/20,Edmonton Zone,100277,130,2437,96580,277,-1,91,-2,1260,0,2896,11874,24,4.45,7.7,6954
592,2021/10/21,Edmonton Zone,100430,153,2355,96813,265,-12,87,-4,1262,2,3082,10732,29,4.96,6.8,6964.6
593,2021/10/22,Edmonton Zone,100584,154,,,,,,,,,3000,10798,28,4.8,6.2,
594,2021/10/23,Edmonton Zone,100682,98,,,,,,,,,2437,8690,28,3.73,5.7,
595,2021/10/24,Edmonton Zone,100753,71,2170,97314,251,,84,,1269,,2092,6413,33,3.39,5.3,6987
596,2021/10/25,Edmonton Zone,100860,107,2166,97422,255,4,85,1,1272,3,2231,7786,29,4.62,5.9,6987
597,2021/10/26,Edmonton Zone,101020,160,2025,97717,252,-3,85,0,1278,6,2979,11343,26,5.47,6.1,7005.5
598,2021/10/27,Edmonton Zone,101140,120,1945,97913,249,-3,86,1,1282,4,2755,10277,27,4.94,6.3,7013.8
599,2021/10/28,Edmonton Zone,101260,120,1847,98131,245,-4,83,-3,1282,0,3096,10505,29,3.84,6.6,7022.1
600,2021/10/29,Edmonton Zone,101395,135,,,,,,,,,2696,9391,29,4.97,6.4,
601,2021/10/30,Edmonton Zone,101467,72,,,,,,,,,2005,8249,24,3.54,6.1,
602,2021/10/31,Edmonton Zone,101539,72,1724,98529,225,,72,,1286,,2092,6717,31,3.35,5.3,7041.5
603,2021/11/01,Edmonton Zone,101592,53,1540,98765,230,5,74,2,1287,1,2228,7544,30,2.51,4.4,7045.2
604,2021/11/02,Edmonton Zone,101707,115,1529,98889,226,-4,71,-3,1289,2,3208,10348,31,3.55,4.3,7053.1
605,2021/11/03,Edmonton Zone,101815,108,1468,99057,212,-14,70,-1,1290,1,3659,12388,30,3.03,4.1,7060.6
606,2021/11/04,Edmonton Zone,101915,100,1412,99212,211,-1,69,-1,1291,1,3331,11495,29,3.24,3.5,7067.6
607,2021/11/05,Edmonton Zone,102029,114,,,,,,,,,3266,11495,28,3.64,4.1,
608,2021/11/06,Edmonton Zone,102122,93,,,,,,,,,2572,8966,29,3.58,4.5,
609,2021/11/07,Edmonton Zone,102182,60,1421,99465,202,,71,,1296,,1488,5526,27,4.23,4.3,7086.1
610,2021/11/08,Edmonton Zone,102258,76,1323,99641,201,-1,65,-6,1294,-2,2412,8330,29,3.28,3.9,7091.4
611,2021/11/09,Edmonton Zone,102372,114,1308,99768,192,-9,60,-5,1296,2,3088,11169,28,3.53,3.8,7091.4
612,2021/11/10,Edmonton Zone,102465,93,,,,,,,,,3182,11584,27,3.02,4.3,
613,2021/11/11,Edmonton Zone,102548,83,1246,100004,184,,55,,1298,,2155,8843,24,3.85,3.7,7111.5
614,2021/11/12,Edmonton Zone,102631,83,,,,,,,,,2183,7967,27,3.89,3.7,
615,2021/11/13,Edmonton Zone,102698,67,,,,,,,,,2077,7146,29,3.13,3.6,
616,2021/11/14,Edmonton Zone,102770,72,1249,100220,159,,47,,1301,,1882,6639,28,3.93,3.7,7111.5
617,2021/11/15,Edmonton Zone,102827,57,1202,100321,154,-5,46,-1,1304,3,1982,6425,31,3.38,3.5,7130.8
618,2021/11/16,Edmonton Zone,102939,112,1221,100413,157,3,47,1,1305,1,3066,9736,31,3.52,3.8,7138.6
619,2021/11/17,Edmonton Zone,103012,73,1180,100524,158,1,44,-3,1308,3,2142,8948,24,3.55,3.6,7143.6
620,2021/11/18,Edmonton Zone,103092,80,1148,100636,160,2,42,-2,1308,0,2340,8673,27,3.55,3.7,7149.2
621,2021/11/19,Edmonton Zone,103202,110,,,,,,,,,2669,9449,28,4.2,3.6,
622,2021/11/20,Edmonton Zone,103293,91,,,,,,,,,2270,7615,30,3.83,2.9,
623,2021/11/21,Edmonton Zone,103349,56,1180,100861,143,,44,,1308,,1249,4824,26,4.32,2.8,7167
624,2021/11/22,Edmonton Zone,103394,45,1087,100997,148,5,42,-2,1310,2,1498,5311,28,3.4,2.9,7170.1
625,2021/11/23,Edmonton Zone,103511,117,1132,101068,150,2,46,4,1311,1,3266,10424,31,3.7,3.2,7178.2
626,2021/11/24,Edmonton Zone,103601,90,1119,101171,150,0,48,2,1311,0,2687,9604,28,3.65,2.8,7184.5
627,2021/11/25,Edmonton Zone,103700,99,1163,101225,146,-4,43,-5,1312,1,2418,8701,28,3.97,2.8,7193.7
628,2021/11/26,Edmonton Zone,103777,77,,,,,,,,,1973,7484,26,4.26,3.8,
629,2021/11/27,Edmonton Zone,103844,67,,,,,,,,,1749,6626,26,3.89,3.9,
630,2021/11/28,Edmonton Zone,103909,65,1146,101451,134,,37,,1312,,1727,5046,34,3.88,3.9,7208.2
631,2021/11/29,Edmonton Zone,103974,65,1107,101552,137,3,40,3,1315,3,1510,5350,28,4.44,3.9,7212.7
632,2021/11/30,Edmonton Zone,104082,108,1146,101620,133,-4,38,-2,1316,1,2805,10756,26,4.06,3.4,7220.2
633,2021/12/01,Edmonton Zone,104203,121,1164,101721,132,-1,40,2,1318,2,3135,9465,33,3.92,3.3,7228.6
634,2021/12/02,Edmonton Zone,104302,99,1166,101818,126,-6,43,3,1318,0,2727,9694,28,3.37,3,7235.5
635,2021/12/03,Edmonton Zone,104419,117,,,,,,,,,2842,8418,34,3.94,2.7,
636,2021/12/04,Edmonton Zone,104484,65,,,,,,,,,1787,6958,26,3.53,3.1,
637,2021/12/05,Edmonton Zone,104552,68,1225,102008,126,,41,,1319,,1661,5133,32,4.09,3.1,7252.8
638,2021/12/06,Edmonton Zone,104623,71,1169,102132,131,5,45,4,1322,3,1822,5478,33,3.73,3.5,7257.7
639,2021/12/07,Edmonton Zone,104737,114,1202,102213,129,-2,40,-5,1322,0,3402,10700,32,3.35,3.9,7265.6
640,2021/12/08,Edmonton Zone,104821,84,1194,102305,125,-4,38,-2,1322,0,2878,10044,29,3.37,3.6,7271.5
641,2021/12/09,Edmonton Zone,104891,70,1172,102397,121,-4,37,-1,1322,0,2667,9139,29,2.59,3.3,7276.3
642,2021/12/10,Edmonton Zone,105006,115,,,,,,,,,2902,8587,34,3.82,3.6,
643,2021/12/11,Edmonton Zone,105109,103,,,,,,,,,2170,6483,33,4.65,3,
644,2021/12/12,Edmonton Zone,105178,69,1264,102592,116,,33,,1322,,1895,5743,33,3.85,2.3,7296.2
645,2021/12/13,Edmonton Zone,105241,63,1198,102719,116,0,33,0,1324,2,1762,6419,27,3.75,2.3,7300.6
646,2021/12/14,Edmonton Zone,105366,125,1221,102819,112,-4,33,0,1326,2,3021,10100,30,4.17,2,7309.3
647,2021/12/15,Edmonton Zone,105498,132,1247,102925,106,-6,35,2,1326,0,3120,9595,33,4.49,2.7,7318.4
648,2021/12/16,Edmonton Zone,105626,128,1283,103016,105,-1,36,1,1327,1,2788,9694,29,4.88,3,7327.3
649,2021/12/17,Edmonton Zone,105802,176,,,,,,,,,3141,10063,31,6.08,2.7,
650,2021/12/18,Edmonton Zone,106032,230,,,,,,,,,2865,8710,33,7.71,2.7,
651,2021/12/19,Edmonton Zone,106180,148,1630,103222,99,,33,,1328,,1835,6504,28,7.96,2.8,7365.7
652,2021/12/20,Edmonton Zone,106408,228,,,,,,,,,2689,7298,37,8.93,2.4,
653,2021/12/21,Edmonton Zone,106853,445,,,,,,,,,3946,11521,34,11.05,2.1,
654,2021/12/22,Edmonton Zone,107391,538,2539,103523,94,,31,,1329,,3954,11871,33,13.45,2,7449.7
655,2021/12/23,Edmonton Zone,108123,732,,,,,,,,,4190,11549,36,17.8,3.2,
656,2021/12/24,Edmonton Zone,108900,777,,,,,,,,,3718,11479,32,20.58,3.2,
657,2021/12/25,Edmonton Zone,109403,503,,,,,,,,,2419,7240,33,20.46,3,
658,2021/12/26,Edmonton Zone,109813,410,,,,,,,,,1995,4084,49,20,2.7,
659,2021/12/27,Edmonton Zone,110532,719,,,,,,,,,2512,6473,39,28.22,3.3,
660,2021/12/28,Edmonton Zone,111639,1107,6216,104090,99,,30,,1333,,3665,9398,39,29.77,3.7,7744.4
661,2021/12/29,Edmonton Zone,113374,1735,,,,,,,,,5287,13257,40,31.53,4.5,
662,2021/12/30,Edmonton Zone,115090,1716,,,,,,,,,4931,13385,37,34.15,5.3,
663,2021/12/31,Edmonton Zone,116735,1645,,,,,,,,,4934,12753,39,32.89,5.6,
664,2022/01/01,Edmonton Zone,117659,924,,,,,,,,,3154,9452,33,29.07,6.8,
665,2022/01/02,Edmonton Zone,118372,713,,,,,,,,,2685,7081,38,26.7,7.8,
666,2022/01/03,Edmonton Zone,119510,1138,12760,105415,117,,32,,1335,,3076,8232,37,36.93,7.5,8290.4
667,2022/01/04,Edmonton Zone,121233,1723,13864,106031,131,14,38,6,1338,3,4754,12694,37,35.76,7.2,8410
668,2022/01/05,Edmonton Zone,123048,1815,14972,106738,136,5,25,-13,1338,0,4681,12318,38,38.45,8.7,8535.9
669,2022/01/06,Edmonton Zone,125344,2296,16269,107737,147,11,24,-1,1338,0,6239,16231,38,36.51,9.4,8695.1
670,2022/01/07,Edmonton Zone,127469,2125,,,,,,,,,5020,15010,33,42.13,15.1,
671,2022/01/08,Edmonton Zone,129793,2324,,,,,,,,,6242,16273,38,37.23,15.4,
672,2022/01/09,Edmonton Zone,131415,1622,20749,109328,197,,27,,1338,,4515,13879,33,35.86,15,9116.3
673,2022/01/10,Edmonton Zone,133310,1895,,,,,,,,,4978,12214,41,37.28,21.4,
674,2022/01/11,Edmonton Zone,136302,2992,22727,112231,264,,32,,1344,,7710,17815,43,38.48,20.7,9455.3
675,2022/01/12,Edmonton Zone,138589,2287,23353,113888,282,18,32,0,1348,4,5497,14347,38,40.62,22.4,9613.9
676,2022/01/13,Edmonton Zone,140985,2396,24062,115573,301,19,30,-2,1350,2,6634,16541,40,35.6,24.1,9780.2
677,2022/01/14,Edmonton Zone,143133,2148,,,,,,,,,5117,16150,32,40.28,28.7,
678,2022/01/15,Edmonton Zone,144470,1337,,,,,,,,,4944,15346,32,27.35,31.5,
679,2022/01/16,Edmonton Zone,145592,1122,26002,118289,426,,40,,1360,,3733,11132,34,30.38,33.5,9780.2
680,2022/01/17,Edmonton Zone,146646,1054,24985,120298,464,38,43,3,1363,3,2974,8995,33,34.94,31.9,10172.9
681,2022/01/18,Edmonton Zone,148023,1377,24000,122660,467,3,43,0,1363,0,3612,10005,36,36.21,32,10268.4
682,2022/01/19,Edmonton Zone,149192,1169,22659,125166,473,6,39,-4,1367,4,3285,11041,30,35.04,32,10349.5
683,2022/01/20,Edmonton Zone,150359,1167,21317,127672,503,30,41,2,1370,3,3400,10572,32,33.94,32.6,10430.4
684,2022/01/21,Edmonton Zone,151571,1212,,,,,,,,,3082,10390,30,38.32,38,
685,2022/01/22,Edmonton Zone,152429,858,,,,,,,,,2742,7887,35,30.96,36.8,
686,2022/01/23,Edmonton Zone,152832,403,18569,132918,539,,42,,1385,,1355,4711,29,29.89,35.6,10430.4
687,2022/01/24,Edmonton Zone,153854,1022,17052,135412,552,13,43,1,1390,5,2652,6718,39,37.97,33.4,10672.9
688,2022/01/25,Edmonton Zone,154994,1140,15683,137912,567,15,41,-2,1399,9,3221,9000,36,34.74,34.2,10752
689,2022/01/26,Edmonton Zone,156024,1030,14219,140402,593,26,42,1,1403,4,2933,9352,31,34.91,36.1,10823.4
690,2022/01/27,Edmonton Zone,156916,892,13065,142444,609,16,42,0,1407,4,2431,8655,28,35.83,35.8,10885.3
691,2022/01/28,Edmonton Zone,157950,1034,,,,,,,,,3154,8415,37,30.37,38.4,
692,2022/01/29,Edmonton Zone,158314,364,,,,,,,,,1479,5881,25,24.68,37.3,
693,2022/01/30,Edmonton Zone,158904,590,11850,145630,603,,39,,1424,,1722,5035,34,34.15,34.1,11023.2
694,2022/01/31,Edmonton Zone,159403,499,11147,146830,635,32,46,7,1426,2,1635,5012,33,29.17,33.6,11057.8
695,2022/02/01,Edmonton Zone,160309,906,10954,147924,647,12,44,-2,1431,5,2459,7643,32,36.88,33.4,11120.7
696,2022/02/02,Edmonton Zone,160914,605,10415,149061,633,-14,49,5,1438,7,1966,7338,27,31.64,30.8,11162.6
697,2022/02/03,Edmonton Zone,161500,586,9961,150091,624,-9,49,0,1448,10,1807,6226,29,32.43,30.3,11203.3
698,2022/02/04,Edmonton Zone,162160,660,,,,,,,,,1909,6436,30,29.7,31.2,
699,2022/02/05,Edmonton Zone,162518,358,,,,,,,,,1369,4769,29,26.3,29.6,
700,2022/02/06,Edmonton Zone,162813,295,8863,152484,602,,56,,1466,,936,3560,26,31.84,27.4,11294.4
701,2022/02/07,Edmonton Zone,163289,476,8298,153523,641,39,61,5,1468,2,1473,4269,35,31.3,28.1,11327.4
702,2022/02/08,Edmonton Zone,163813,524,7862,154479,641,0,61,0,1472,4,1766,5748,31,28.82,27.9,11363.7
703,2022/02/09,Edmonton Zone,164205,392,7298,155430,632,-9,59,-2,1477,5,1493,4986,30,27.13,28.1,11390.9
704,2022/02/10,Edmonton Zone,164611,406,6922,156202,606,-26,57,-2,1487,10,1416,4742,30,27.05,27.5,11419.1
705,2022/02/11,Edmonton Zone,164971,360,,,,,,,,,1119,4330,26,28.69,26.9,
706,2022/02/12,Edmonton Zone,165218,247,,,,,,,,,1048,3464,30,23.85,25.7,
707,2022/02/13,Edmonton Zone,165415,197,6047,157873,582,,56,,1495,,852,2423,35,22.42,23.4,11474.9
708,2022/02/14,Edmonton Zone,165636,221,5542,158595,581,-1,54,-2,1499,4,734,2499,29,29.16,20.2,11490.2
709,2022/02/15,Edmonton Zone,165915,279,5202,159209,568,-13,52,-2,1504,5,1328,4117,32,21.61,19.1,11509.6
710,2022/02/16,Edmonton Zone,166117,202,4809,159800,557,-11,50,-2,1508,4,1060,4041,26,19.91,17.6,11523.6
711,2022/02/17,Edmonton Zone,166377,260,4483,160386,561,4,50,0,1508,0,1266,3766,34,19.35,17.9,11541.6
712,2022/02/18,Edmonton Zone,166709,332,,,,,,,,,900,3407,26,20,18.3,
713,2022/02/19,Edmonton Zone,166833,124,,,,,,,,,713,2559,28,16.83,18.1,
714,2022/02/20,Edmonton Zone,166959,126,,,,,,,,,696,1981,35,18.25,17.2,
715,2022/02/21,Edmonton Zone,167069,110,,,,,,,,,576,1979,29,18.23,16.7,
716,2022/02/22,Edmonton Zone,167296,227,3203,162568,485,,37,,1525,,795,2776,29,25.91,14.7,11605.4
717,2022/02/23,Edmonton Zone,167503,207,3014,162963,474,-11,37,0,1526,1,864,3436,25,22.22,12.9,11619.7
718,2022/02/24,Edmonton Zone,167690,187,2859,163300,459,-15,37,0,1531,5,923,3175,29,18.96,12.2,11632.7
719,2022/02/25,Edmonton Zone,167812,122,,,,,,,,,786,3110,25,16.16,13.5,
720,2022/02/26,Edmonton Zone,167980,168,,,,,,,,,752,2448,31,21.41,11.9,
721,2022/02/27,Edmonton Zone,168084,104,2551,163998,429,,40,,1535,,532,1835,29,18.8,10.7,11660
722,2022/02/28,Edmonton Zone,168136,52,,,,,,,,,664,2060,32,27.11,12.5,
723,2022/03/01,Edmonton Zone,168300,164,2315,164440,427,,41,,1545,,776,2921,27,19.59,12.6,11675
724,2022/03/02,Edmonton Zone,168447,147,2252,164645,414,-13,39,-2,1550,5,784,2846,28,20.92,11.9,11685.2
725,2022/03/03,Edmonton Zone,168632,185,2198,164882,390,-24,35,-4,1552,2,784,2492,31,18.49,10.5,11698
726,2022/03/04,Edmonton Zone,168777,145,,,,,,,,,664,2452,27,17.32,10.2,
727,2022/03/05,Edmonton Zone,168888,111,,,,,,,,,603,2175,28,17.91,9.7,
728,2022/03/06,Edmonton Zone,168972,84,2083,165333,372,,31,,1556,,567,1555,36,14.81,8.1,11721.6
729,2022/03/07,Edmonton Zone,169144,172,2089,165497,370,-2,33,2,1558,2,662,2202,30,19.49,7.7,11733.6
730,2022/03/08,Edmonton Zone,169397,253,2032,165805,365,-5,34,1,1560,2,1243,3069,41,16.01,7.3,11751.1
731,2022/03/09,Edmonton Zone,169579,182,1992,166024,352,-13,33,-1,1563,3,867,3041,29,19.03,7.5,11763.7
732,2022/03/10,Edmonton Zone,169727,148,1960,166199,355,3,32,-1,1568,5,729,2519,29,17.7,7.8,11774
733,2022/03/11,Edmonton Zone,169923,196,,,,,,,,,842,2302,37,20.19,8.8,
734,2022/03/12,Edmonton Zone,170032,109,,,,,,,,,815,2490,33,13.37,9,
735,2022/03/13,Edmonton Zone,170158,126,2007,166577,339,,33,,1574,,657,1977,33,19.33,7.8,11803.9
736,2022/03/14,Edmonton Zone,170290,132,1937,166778,333,-6,32,-1,1575,1,565,1831,31,21.59,8,11813.1
737,2022/03/15,Edmonton Zone,170469,179,1946,166952,336,3,30,-2,1571,-4,857,3166,27,19.37,7.5,11825.5
738,2022/03/16,Edmonton Zone,170666,197,1971,167122,328,-8,29,-1,1573,2,955,2729,35,18.43,7.2,11839.1
739,2022/03/17,Edmonton Zone,170789,123,1959,167256,319,-9,26,-3,1574,1,690,2925,24,22.17,6.3,11847.7
740,2022/03/18,Edmonton Zone,170948,159,,,,,,,,,819,2565,32,20.15,8,
741,2022/03/19,Edmonton Zone,171117,169,,,,,,,,,787,2425,32,21.73,7.6,
742,2022/03/20,Edmonton Zone,171225,108,,,,,,,,,526,1482,35,20.91,7.5,
743,2022/03/21,Edmonton Zone,171383,158,,,319,,21,,1577,,634,1845,34,24.29,7.5,
744,2022/03/22,Edmonton Zone,171678,295,,,,,,,,,970,3204,30,27.63,9.4,
745,2022/03/23,Edmonton Zone,171932,254,,,,,,,,,1100,3152,35,22.91,10,
746,2022/03/24,Edmonton Zone,172187,255,,,,,,,,,1145,3482,33,21.4,9.6,
747,2022/03/25,Edmonton Zone,172434,247,,,,,,,,,904,2750,33,26.88,10.7,
748,2022/03/26,Edmonton Zone,172603,169,,,,,,,,,766,2498,31,22.45,11.5,
749,2022/03/27,Edmonton Zone,172755,152,,,,,,,,,614,1766,35,25.24,12,
750,2022/03/28,Edmonton Zone,172888,133,,,345,,23,,1587,,605,2184,28,20.99,11.8,
